"1","LTC","Litecoin",0,"0?"
"22","MONA","MonaCoin",1,"0?"
"111","DGD","DigixDAO",2,"0?"
"129","REP","Augur",3,"0?"
"122","SYNX","Syndicate",4,"0?"
"118","ETC","Ethereum Classic",5,"0?"
"116","SBD","Steem Dollars",6,"0?"
"115","LBC","LBRY Credits",7,"0?"
"114","RISE","Rise",8,"0?"
"131","ARDR","Ardor",9,"0?"
"147","TIME","Chronobank",10,"0?"
"72","DMD","Diamond",11,"0?"
"70","XEM","NEM",12,"0?"
"29","CLOAK","CloakCoin",13,"0?"
"28","XMR","Monero",14,"0?"
"27","CURE","CureCoin",15,"0?"
"21","XWC","WhiteCoin",16,"0?"
"134","ZEC","Zcash",17,"0?"
"20","RBY","RubyCoin",18,"0?"
"19","NLG","Gulden",19,"0?"
"18","GRS","Groestlcoin",20,"0?"
"30","START","StartCoin",21,"0?"
"15","GLC","GoldCoin",22,"0?"
"13","AUR","AuroraCoin",23,"0?"
"12","XMY","Myriad",24,"0?"
"11","EMC2","Einsteinium",25,"0?"
"10","BLK","BlackCoin",26,"0?"
"9","POT","PotCoin",27,"0?"
"8","DASH","Dash",28,"0?"
"7","NXT","NXT",29,"0?"
"6","RDD","ReddCoin",30,"0?"
"5","FTC","Feathercoin",31,"0?"
"133","NEO","Neo",32,"0?"
"135","ZCL","Zclassic",33,"0?"
"3","VTC","Vertcoin",34,"0?"
"90","BTC","Bitcoin",35,"0?"
"2771","KIN","Kin",36,"0?"
"2765","DATA","Streamr DATAcoin",37,"0?"
"2753","CNX","Cryptonex",38,"0?"
"3102","PING","CryptoPing",39,"0?"
"1357","NKA","Incakoin",40,"0?"
"106","STEEM","STEEM",41,"0?"
"103","PIVX","Pivx",42,"0?"
"102","XVG","Verge",43,"0?"
"99","DCR","Decred",44,"0?"
"97","SLS","SaluS",45,"0?"
"95","MAID","MaidSafeCoin",46,"0?"
"93","EMC","EmerCoin",47,"0?"
"91","CLUB","ClubCoin",48,"0?"
"107","2GIVE","2GIVE",49,"0?"
"86","OMNI","OMNI",50,"0?"
"139","KMD","Komodo",51,"0?"
"75","OK","OkCash",52,"0?"
"141","SIB","Siberian Chervonets",53,"0?"
"145","CRW","Crown",54,"0?"
"146","SWT","Swarm City",55,"0?"
"113","WAVES","Waves",56,"0?"
"108","LSK","Lisk",57,"0?"
"89","XLM","Stellar",58,"0?"
"76","SNRG","Synergy",59,"0?"
"84","EXP","Expanse",60,"0?"
"77","PKB","ParkByte",61,"0?"
"78","CPC","CapriCoin",62,"0?"
"79","AEON","Aeon",63,"0?"
"80","ETH","Ethereum",64,"0?"
"81","GCR","Global Currency Reserve",65,"0?"
"82","TX","TransferCoin",66,"0?"
"4","PPC","Peercoin",67,"0?"
"14","EFL","e-Gulden",68,"0?"
"2782","ACT","Achain",69,"0?"
"534","XHI","HiCoin",70,"0?"
"351","XPM","Primecoin",71,"0?"
"454","LINDA","Linda",72,"0?"
"349","WDC","Worldcoin",73,"0?"
"531","XBY","XtraBYtes",74,"0?"
"1355","SJW","SJWCoin",75,"0?"
"1346","DUO","Parallelcoin",76,"0?"
"1340","XPD","PetroDollar",77,"0?"
"1334","I0C","I0Coin",78,"0?"
"1323","SAK","SharkCoin",79,"0?"
"1317","MARS","Marscoin",80,"0?"
"1302","DEM","Deutsche eMark",81,"0?"
"1299","HYP","HyperStake",82,"0?"
"1294","LDOGE","LiteDoge",83,"0?"
"1289","8BIT","8Bit",84,"0?"
"1253","ZEIT","ZeitCoin",85,"0?"
"364","AIB","Advanced Internet Blocks",86,"0?"
"1276","BLZ","Bluzelle",87,"0?"
"202","NMR","Numeraire",88,"0?"
"207","SNT","Status Network Token",89,"0?"
"211","MCO","Crypto.com",90,"0?"
"325","NVC","NovaCoin",91,"0?"
"343","UNO","Unobtanium",92,"0?"
"149","ARK","Ark",93,"0?"
"548","ZSC","Zeusshield",94,"0?"
"1250","PXC","PhoenixCoin",95,"0?"
"1166","SXC","Sexcoin",96,"0?"
"1204","TIT","TitCoin",97,"0?"
"1217","ORB","OrbitCoin",98,"0?"
"1225","CBX","Bullion",99,"0?"
